country,date, closing price 
Australia,15/02/2021," 6,868.90 "
Australia,16/02/2021," 6,917.30 "
Australia,17/02/2021," 6,885.20 "
Australia,18/02/2021," 6,885.90 "
Australia,19/02/2021," 6,793.80 "
Australia,20/02/2021," 6,793.80 "
Australia,21/02/2021," 6,793.80 "
Australia,22/02/2021," 6,780.90 "
Australia,23/02/2021," 6,839.20 "
Australia,24/02/2021," 6,777.80 "
Australia,25/02/2021," 6,834.00 "
Australia,26/02/2021," 6,673.30 "
Australia,27/02/2021," 6,673.30 "
Australia,28/02/2021," 6,673.30 "
Australia,01/03/2021," 6,789.60 "
Australia,02/03/2021," 6,760.70 "
Australia,03/03/2021," 6,818.00 "
Australia,04/03/2021," 6,760.70 "
Australia,05/03/2021," 6,710.80 "
Australia,06/03/2021," 6,710.80 "
Australia,07/03/2021," 6,710.80 "
Australia,08/03/2021," 6,739.60 "
Australia,09/03/2021," 6,771.20 "
Australia,10/03/2021," 6,714.10 "
Australia,11/03/2021," 6,713.90 "
Australia,12/03/2021," 6,766.80 "
Australia,13/03/2021," 6,766.80 "
Australia,14/03/2021," 6,766.80 "
Australia,15/03/2021," 6,773.00 "
Australia,16/03/2021," 6,827.10 "
Australia,17/03/2021," 6,745.20 "
Australia,18/03/2021," 6,745.90 "
Australia,19/03/2021," 6,708.20 "
United Kingdom,13/12/2020, 656.80 
United Kingdom,14/12/2020, 656.80 
United Kingdom,15/12/2020," 6,513.30 "
United Kingdom,16/12/2020," 6,570.90 "
United Kingdom,17/12/2020," 6,551.10 "
United Kingdom,18/12/2020," 6,529.20 "
United Kingdom,19/12/2020," 6,529.20 "
United Kingdom,20/12/2020," 6,529.20 "
United Kingdom,21/12/2020," 6,416.30 "
United Kingdom,22/12/2020," 6,416.30 "
United Kingdom,23/12/2020," 6,495.80 "
United Kingdom,24/12/2020," 6,502.10 "
United Kingdom,25/12/2020," 6,502.10 "
United Kingdom,26/12/2020," 6,502.10 "
United Kingdom,27/12/2020," 6,502.10 "
United Kingdom,28/12/2020," 6,502.10 "
United Kingdom,29/12/2020," 6,602.70 "
United Kingdom,30/12/2020," 6,555.80 "
United Kingdom,31/12/2020," 6,460.50 "
United Kingdom,01/01/2021," 6,460.50 "
United Kingdom,02/01/2021," 6,460.50 "
United Kingdom,03/01/2021," 6,460.50 "
United Kingdom,04/01/2021," 6,571.90 "
United Kingdom,05/01/2021," 6,612.30 "
United Kingdom,06/01/2021," 6,841.90 "
United Kingdom,07/01/2021," 6,854.00 "
United Kingdom,08/01/2021," 6,873.30 "
United Kingdom,09/01/2021," 6,873.30 "
United Kingdom,10/01/2021," 6,873.30 "
United Kingdom,11/01/2021," 6,798.50 "
United Kingdom,12/01/2021," 6,754.10 "
United Kingdom,13/01/2021," 6,745.50 "
United Kingdom,14/01/2021," 6,802.00 "
United Kingdom,15/01/2021," 6,735.70 "
United Kingdom,16/01/2021," 6,735.70 "
United Kingdom,17/01/2021," 6,735.70 "
United Kingdom,18/01/2021," 6,720.70 "
United Kingdom,19/01/2021," 6,713.00 "
United Kingdom,20/01/2021," 6,740.40 "
United Kingdom,21/01/2021," 6,715.40 "
United Kingdom,22/01/2021," 6,695.10 "
United Kingdom,23/01/2021," 6,695.10 "
United Kingdom,24/01/2021," 6,695.10 "
United Kingdom,25/01/2021," 6,638.90 "
United Kingdom,26/01/2021," 6,654.00 "
United Kingdom,27/01/2021," 6,567.40 "
United Kingdom,28/01/2021," 6,526.20 "
United Kingdom,29/01/2021," 6,407.50 "
United Kingdom,30/01/2021," 6,407.50 "
United Kingdom,31/01/2021," 6,407.50 "
United Kingdom,01/02/2021," 6,466.40 "
United Kingdom,02/02/2021," 6,516.70 "
United Kingdom,03/02/2021," 6,507.80 "
United Kingdom,04/02/2021," 6,508.70 "
United Kingdom,05/02/2021," 6,489.30 "
United Kingdom,06/02/2021," 6,489.30 "
United Kingdom,07/02/2021," 6,489.30 "
United Kingdom,08/02/2021," 6,523.30 "
United Kingdom,09/02/2021," 6,531.60 "
United Kingdom,10/02/2021," 6,524.40 "
United Kingdom,11/02/2021," 6,528.70 "
United Kingdom,12/02/2021," 6,589.80 "
United Kingdom,13/02/2021," 6,589.80 "
United Kingdom,14/02/2021," 6,589.80 "
United Kingdom,15/02/2021," 6,756.10 "
United Kingdom,16/02/2021," 6,748.90 "
United Kingdom,17/02/2021," 6,710.90 "
United Kingdom,18/02/2021," 6,617.20 "
United Kingdom,19/02/2021," 6,624.00 "
United Kingdom,20/02/2021," 6,624.00 "
United Kingdom,21/02/2021," 6,624.00 "
United Kingdom,22/02/2021," 6,612.20 "
United Kingdom,23/02/2021," 6,625.90 "
United Kingdom,24/02/2021," 6,659.00 "
United Kingdom,25/02/2021," 6,652.00 "
United Kingdom,26/02/2021," 6,483.40 "
United Kingdom,27/02/2021," 6,483.40 "
United Kingdom,28/02/2021," 6,483.40 "
United Kingdom,01/03/2021," 6,588.50 "
United Kingdom,02/03/2021," 6,613.80 "
United Kingdom,03/03/2021," 6,675.50 "
United Kingdom,04/03/2021," 6,650.90 "
United Kingdom,05/03/2021," 6,630.50 "
United Kingdom,06/03/2021," 6,630.50 "
United Kingdom,07/03/2021," 6,630.50 "
United Kingdom,08/03/2021," 6,719.10 "
United Kingdom,09/03/2021," 6,730.30 "
United Kingdom,10/03/2021," 6,725.60 "
United Kingdom,11/03/2021," 6,737.00 "
United Kingdom,12/03/2021," 6,761.50 "
United Kingdom,13/03/2021," 6,761.50 "
United Kingdom,14/03/2021," 6,761.50 "
United Kingdom,15/03/2021," 6,749.70 "
United Kingdom,16/03/2021," 6,803.60 "
United Kingdom,17/03/2021," 6,760.70 "
United Kingdom,18/03/2021," 6,779.70 "
United States,20/12/2020," 3,709.41 "
United States,21/12/2020," 3,694.92 "
United States,22/12/2020," 3,687.26 "
United States,23/12/2020," 3,690.01 "
United States,24/12/2020," 3,703.06 "
United States,25/12/2020," 3,703.06 "
United States,26/12/2020," 3,703.06 "
United States,27/12/2020," 3,703.06 "
United States,28/12/2020," 3,735.36 "
United States,29/12/2020," 3,727.04 "
United States,30/12/2020," 3,732.04 "
United States,31/12/2020," 3,732.04 "
United States,01/01/2021," 3,732.04 "
United States,02/01/2021," 3,732.04 "
United States,03/01/2021," 3,732.04 "
United States,04/01/2021," 3,700.65 "
United States,05/01/2021," 3,726.86 "
United States,06/01/2021," 3,748.14 "
United States,07/01/2021," 3,803.79 "
United States,08/01/2021," 3,824.69 "
United States,09/01/2021," 3,824.69 "
United States,10/01/2021," 3,824.69 "
United States,11/01/2021," 3,799.61 "
United States,12/01/2021," 3,801.19 "
United States,13/01/2021," 3,809.84 "
United States,14/01/2021," 3,795.54 "
United States,15/01/2021," 3,768.25 "
United States,16/01/2021," 3,768.25 "
United States,17/01/2021," 3,768.25 "
United States,18/01/2021," 3,768.25 "
United States,19/01/2021," 3,798.91 "
United States,20/01/2021," 3,851.85 "
United States,21/01/2021," 3,853.07 "
United States,22/01/2021," 3,841.47 "
United States,23/01/2021," 3,841.47 "
United States,24/01/2021," 3,841.47 "
United States,25/01/2021," 3,855.36 "
United States,26/01/2021," 3,849.62 "
United States,27/01/2021," 3,750.77 "
United States,28/01/2021," 3,787.38 "
United States,29/01/2021," 3,714.24 "
United States,30/01/2021," 3,714.24 "
United States,31/01/2021," 3,714.24 "
United States,01/02/2021," 3,773.86 "
United States,02/02/2021," 3,826.31 "
United States,03/02/2021," 3,830.17 "
United States,04/02/2021," 3,871.74 "
United States,05/02/2021," 3,886.83 "
United States,06/02/2021," 3,886.83 "
United States,07/02/2021," 3,886.83 "
United States,08/02/2021," 3,915.59 "
United States,09/02/2021," 3,911.23 "
United States,10/02/2021," 3,909.88 "
United States,11/02/2021," 3,916.38 "
United States,12/02/2021," 3,938.83 "
United States,13/02/2021," 3,938.83 "
United States,14/02/2021," 3,938.83 "
United States,15/02/2021," 3,938.83 "
United States,16/02/2021," 3,932.59 "
United States,17/02/2021," 3,931.33 "
United States,18/02/2021," 3,913.97 "
United States,19/02/2021," 3,906.71 "
United States,20/02/2021," 3,906.71 "
United States,21/02/2021," 3,906.71 "
United States,22/02/2021," 3,846.50 "
United States,23/02/2021," 3,881.37 "
United States,24/02/2021," 3,925.43 "
United States,25/02/2021," 3,829.34 "
United States,26/02/2021," 3,811.15 "
United States,27/02/2021," 3,811.15 "
United States,28/02/2021," 3,811.15 "
United States,01/03/2021," 3,901.82 "
United States,02/03/2021," 3,870.29 "
United States,03/03/2021," 3,819.72 "
United States,04/03/2021," 3,768.47 "
United States,05/03/2021," 3,841.94 "
United States,06/03/2021," 3,841.94 "
United States,07/03/2021," 3,841.94 "
United States,08/03/2021," 3,821.35 "
United States,09/03/2021," 3,875.55 "
United States,10/03/2021," 3,898.81 "
United States,11/03/2021," 3,939.34 "
United States,12/03/2021," 3,943.34 "
United States,13/03/2021," 3,943.34 "
United States,14/03/2021," 3,943.34 "
United States,15/03/2021," 3,943.94 "
United States,16/03/2021," 3,962.71 "
United States,17/03/2021," 3,974.12 "
United States,18/03/2021," 3,915.46 "
United States,19/03/2021," 3,913.10 "
